dataset,task,model,capability,failure_rate,mean_AM,mean_CS,mean_EVFS,variant,removed_component,diagnostic_completeness
sst2,sentiment,bert,entity_invariance,0.0,0.0,,0.0,Without Counterfactual Validation,CS,0.75
sst2,sentiment,bert,entity_invariance,0.0,0.0,0.0001996159553527832,,Without EVFS,EVFS,0.75
sst2,sentiment,bert,entity_invariance,0.0,0.0,0.0001996159553527832,0.0,Without Failure Reason Rules,Reason inference,0.8
sst2,sentiment,bert,negation,0.0,0.0,0.982380385894794,0.0,Full X-CheckList,None,1.0
sst2,sentiment,bert,negation,0.0,,0.982380385894794,0.0,Without Attribution,Attribution/AM,0.75
sst2,sentiment,bert,negation,0.0,0.0,,0.0,Without Counterfactual Validation,CS,0.75
sst2,sentiment,bert,negation,0.0,0.0,0.982380385894794,,Without EVFS,EVFS,0.75
sst2,sentiment,bert,negation,0.0,0.0,0.982380385894794,0.0,Without Failure Reason Rules,Reason inference,0.8
sst2,sentiment,bert,robustness,0.05333333333333334,0.02666666666666667,0.022471981277534116,0.0017675376710637161,Full X-CheckList,None,1.0
sst2,sentiment,bert,robustness,0.05333333333333334,,0.022471981277534116,0.0017675376710637161,Without Attribution,Attribution/AM,0.75
sst2,sentiment,bert,robustness,0.05333333333333334,0.02666666666666667,,0.0017675376710637161,Without Counterfactual Validation,CS,0.75
sst2,sentiment,bert,robustness,0.05333333333333334,0.02666666666666667,0.022471981277534116,,Without EVFS,EVFS,0.75
sst2,sentiment,bert,robustness,0.05333333333333334,0.02666666666666667,0.022471981277534116,0.0017675376710637161,Without Failure Reason Rules,Reason inference,0.8
sst2,sentiment,bert,temporal_sentiment,0.0,0.0,0.9350394271896221,0.0,Full X-CheckList,None,1.0
sst2,sentiment,bert,temporal_sentiment,0.0,,0.9350394271896221,0.0,Without Attribution,Attribution/AM,0.75
sst2,sentiment,bert,temporal_sentiment,0.0,0.0,,0.0,Without Counterfactual Validation,CS,0.75
sst2,sentiment,bert,temporal_sentiment,0.0,0.0,0.9350394271896221,,Without EVFS,EVFS,0.75
sst2,sentiment,bert,temporal_sentiment,0.0,0.0,0.9350394271896221,0.0,Without Failure Reason Rules,Reason inference,0.8
sst2,sentiment,distilbert,entity_invariance,0.0,0.0,2.175569534301758e-06,0.0,Full X-CheckList,None,1.0
sst2,sentiment,distilbert,entity_invariance,0.0,,2.175569534301758e-06,0.0,Without Attribution,Attribution/AM,0.75
sst2,sentiment,distilbert,entity_invariance,0.0,0.0,,0.0,Without Counterfactual Validation,CS,0.75
sst2,sentiment,distilbert,entity_invariance,0.0,0.0,2.175569534301758e-06,,Without EVFS,EVFS,0.75
sst2,sentiment,distilbert,entity_invariance,0.0,0.0,2.175569534301758e-06,0.0,Without Failure Reason Rules,Reason inference,0.8
sst2,sentiment,distilbert,negation,0.0,0.0,0.9896025509155152,0.0,Full X-CheckList,None,1.0
sst2,sentiment,distilbert,negation,0.0,,0.9896025509155152,0.0,Without Attribution,Attribution/AM,0.75
sst2,sentiment,distilbert,negation,0.0,0.0,,0.0,Without Counterfactual Validation,CS,0.75
sst2,sentiment,distilbert,negation,0.0,0.0,0.9896025509155152,,Without EVFS,EVFS,0.75
sst2,sentiment,distilbert,negation,0.0,0.0,0.9896025509155152,0.0,Without Failure Reason Rules,Reason inference,0.8
sst2,sentiment,distilbert,robustness,0.07666666666666666,0.03833333333333333,0.036952907957408264,0.005554050043671547,Full X-CheckList,None,1.0
sst2,sentiment,distilbert,robustness,0.07666666666666666,,0.036952907957408264,0.005554050043671547,Without Attribution,Attribution/AM,0.75
sst2,sentiment,distilbert,robustness,0.07666666666666666,0.03833333333333333,,0.005554050043671547,Without Counterfactual Validation,CS,0.75
sst2,sentiment,distilbert,robustness,0.07666666666666666,0.03833333333333333,0.036952907957408264,,Without EVFS,EVFS,0.75
sst2,sentiment,distilbert,robustness,0.07666666666666666,0.03833333333333333,0.036952907957408264,0.005554050043671547,Without Failure Reason Rules,Reason inference,0.8
sst2,sentiment,distilbert,temporal_sentiment,0.0,0.0,0.9904886117728893,0.0,Full X-CheckList,None,1.0
sst2,sentiment,distilbert,temporal_sentiment,0.0,,0.9904886117728893,0.0,Without Attribution,Attribution/AM,0.75
sst2,sentiment,distilbert,temporal_sentiment,0.0,0.0,,0.0,Without Counterfactual Validation,CS,0.75
sst2,sentiment,distilbert,temporal_sentiment,0.0,0.0,0.9904886117728893,,Without EVFS,EVFS,0.75
sst2,sentiment,distilbert,temporal_sentiment,0.0,0.0,0.9904886117728893,0.0,Without Failure Reason Rules,Reason inference,0.8
sst2,sentiment,roberta,entity_invariance,0.0,0.0,0.002450406551361084,0.0,Full X-CheckList,None,1.0
sst2,sentiment,roberta,entity_invariance,0.0,,0.002450406551361084,0.0,Without Attribution,Attribution/AM,0.75
sst2,sentiment,roberta,entity_invariance,0.0,0.0,,0.0,Without Counterfactual Validation,CS,0.75
sst2,sentiment,roberta,entity_invariance,0.0,0.0,0.002450406551361084,,Without EVFS,EVFS,0.75
sst2,sentiment,roberta,entity_invariance,0.0,0.0,0.002450406551361084,0.0,Without Failure Reason Rules,Reason inference,0.8
sst2,sentiment,roberta,negation,0.0,0.0,0.9795880307909102,0.0,Full X-CheckList,None,1.0
sst2,sentiment,roberta,negation,0.0,,0.9795880307909102,0.0,Without Attribution,Attribution/AM,0.75
sst2,sentiment,roberta,negation,0.0,0.0,,0.0,Without Counterfactual Validation,CS,0.75
sst2,sentiment,roberta,negation,0.0,0.0,0.9795880307909102,,Without EVFS,EVFS,0.75
sst2,sentiment,roberta,negation,0.0,0.0,0.9795880307909102,0.0,Without Failure Reason Rules,Reason inference,0.8
sst2,sentiment,roberta,robustness,0.043333333333333335,0.021666666666666667,0.019681028897563617,0.002024433733895421,Full X-CheckList,None,1.0
sst2,sentiment,roberta,robustness,0.043333333333333335,,0.019681028897563617,0.002024433733895421,Without Attribution,Attribution/AM,0.75
sst2,sentiment,roberta,robustness,0.043333333333333335,0.021666666666666667,,0.002024433733895421,Without Counterfactual Validation,CS,0.75
sst2,sentiment,roberta,robustness,0.043333333333333335,0.021666666666666667,0.019681028897563617,,Without EVFS,EVFS,0.75
sst2,sentiment,roberta,robustness,0.043333333333333335,0.021666666666666667,0.019681028897563617,0.002024433733895421,Without Failure Reason Rules,Reason inference,0.8
sst2,sentiment,roberta,temporal_sentiment,0.0,0.0,0.7270583445206285,0.0,Full X-CheckList,None,1.0
sst2,sentiment,roberta,temporal_sentiment,0.0,,0.7270583445206285,0.0,Without Attribution,Attribution/AM,0.75
sst2,sentiment,roberta,temporal_sentiment,0.0,0.0,,0.0,Without Counterfactual Validation,CS,0.75
sst2,sentiment,roberta,temporal_sentiment,0.0,0.0,0.7270583445206285,,Without EVFS,EVFS,0.75
sst2,sentiment,roberta,temporal_sentiment,0.0,0.0,0.7270583445206285,0.0,Without Failure Reason Rules,Reason inference,0.8
