annotator_id,method,sample_id,dataset,model,capability,input_text,expected_label,predicted_label,failure_reason,report_text,correctness_1_to_5,understandability_1_to_5,usefulness_1_to_5,actionability_1_to_5,comments
A1,Standard CheckList,imdb_neg_0011,imdb,roberta,negation,The movie was not terrible.,POSITIVE,NEGATIVE,N/A,"Standard CheckList report: Dataset: imdb. Model: roberta. Capability: negation. Relation: directional. Input: The movie was not terrible.. Expected label: POSITIVE. Predicted label: NEGATIVE. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A2,Standard CheckList,imdb_neg_0011,imdb,roberta,negation,The movie was not terrible.,POSITIVE,NEGATIVE,N/A,"Standard CheckList report: Dataset: imdb. Model: roberta. Capability: negation. Relation: directional. Input: The movie was not terrible.. Expected label: POSITIVE. Predicted label: NEGATIVE. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A1,CheckList + Attribution,imdb_neg_0011,imdb,roberta,negation,The movie was not terrible.,POSITIVE,NEGATIVE,N/A,"CheckList + Attribution report: Dataset: imdb. Model: roberta. Capability: negation. Relation: directional. Input: The movie was not terrible.. Expected label: POSITIVE. Predicted label: NEGATIVE. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.838; cue attribution ratio=0.162. Top attributed tokens: [[""terrible"", 0.4949076171204053], [""not"", 0.16172647353925662], [""movie"", 0.1532727590410248], [""the"", 0.10422080062834727], [""was"", 0.08587234967096598]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
A2,CheckList + Attribution,imdb_neg_0011,imdb,roberta,negation,The movie was not terrible.,POSITIVE,NEGATIVE,N/A,"CheckList + Attribution report: Dataset: imdb. Model: roberta. Capability: negation. Relation: directional. Input: The movie was not terrible.. Expected label: POSITIVE. Predicted label: NEGATIVE. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.838; cue attribution ratio=0.162. Top attributed tokens: [[""terrible"", 0.4949076171204053], [""not"", 0.16172647353925662], [""movie"", 0.1532727590410248], [""the"", 0.10422080062834727], [""was"", 0.08587234967096598]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
A1,CheckList + Counterfactual,imdb_neg_0011,imdb,roberta,negation,The movie was not terrible.,POSITIVE,NEGATIVE,N/A,"CheckList + Counterfactual report: Dataset: imdb. Model: roberta. Capability: negation. Relation: directional. Input: The movie was not terrible.. Expected label: POSITIVE. Predicted label: NEGATIVE. The counterfactual prediction was NEGATIVE, with counterfactual fail status=0. Counterfactual sensitivity CS=0.190. This report shows whether the model changed under a controlled counterfactual input, but it does not include token-level attribution or a full explanation-validated failure score.",,,,,
A2,CheckList + Counterfactual,imdb_neg_0011,imdb,roberta,negation,The movie was not terrible.,POSITIVE,NEGATIVE,N/A,"CheckList + Counterfactual report: Dataset: imdb. Model: roberta. Capability: negation. Relation: directional. Input: The movie was not terrible.. Expected label: POSITIVE. Predicted label: NEGATIVE. The counterfactual prediction was NEGATIVE, with counterfactual fail status=0. Counterfactual sensitivity CS=0.190. This report shows whether the model changed under a controlled counterfactual input, but it does not include token-level attribution or a full explanation-validated failure score.",,,,,
A1,X-CheckList,snli_lex_0003,snli,distilbert,lexical_overlap,The cat is above the box. [SEP] The box is above the cat.,NEUTRAL,ENTAILMENT,"Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.70, CS=0.00; top tokens: above:0.30, the:0.23, box:0.21, cat:0.14, is:0.12.","X-CheckList report: Dataset: snli. Model: distilbert. Capability: lexical_overlap. Relation: directional. Input: The cat is above the box. [SEP] The box is above the cat.. Expected label: NEUTRAL. Predicted label: ENTAILMENT. Attribution evidence: AM=0.697, cue attribution ratio=0.303, top attributed tokens=[[""above"", 0.3027220693144391], [""the"", 0.23412037392336876], [""box"", 0.2090704114621683], [""cat"", 0.13906851161587827], [""is"", 0.11501863368414555]]. Counterfactual evidence: counterfactual predicted label=ENTAILMENT, counterfactual fail status=0, CS=0.000. Explanation-Validated Failure Score EVFS=0.697. Diagnostic failure reason: Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.70, CS=0.00; top tokens: above:0.30, the:0.23, box:0.21, cat:0.14, is:0.12.",,,,,
A2,X-CheckList,snli_lex_0003,snli,distilbert,lexical_overlap,The cat is above the box. [SEP] The box is above the cat.,NEUTRAL,ENTAILMENT,"Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.70, CS=0.00; top tokens: above:0.30, the:0.23, box:0.21, cat:0.14, is:0.12.","X-CheckList report: Dataset: snli. Model: distilbert. Capability: lexical_overlap. Relation: directional. Input: The cat is above the box. [SEP] The box is above the cat.. Expected label: NEUTRAL. Predicted label: ENTAILMENT. Attribution evidence: AM=0.697, cue attribution ratio=0.303, top attributed tokens=[[""above"", 0.3027220693144391], [""the"", 0.23412037392336876], [""box"", 0.2090704114621683], [""cat"", 0.13906851161587827], [""is"", 0.11501863368414555]]. Counterfactual evidence: counterfactual predicted label=ENTAILMENT, counterfactual fail status=0, CS=0.000. Explanation-Validated Failure Score EVFS=0.697. Diagnostic failure reason: Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.70, CS=0.00; top tokens: above:0.30, the:0.23, box:0.21, cat:0.14, is:0.12.",,,,,
A1,Standard CheckList,snli_lex_0003,snli,distilbert,lexical_overlap,The cat is above the box. [SEP] The box is above the cat.,NEUTRAL,ENTAILMENT,N/A,"Standard CheckList report: Dataset: snli. Model: distilbert. Capability: lexical_overlap. Relation: directional. Input: The cat is above the box. [SEP] The box is above the cat.. Expected label: NEUTRAL. Predicted label: ENTAILMENT. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A2,Standard CheckList,snli_lex_0003,snli,distilbert,lexical_overlap,The cat is above the box. [SEP] The box is above the cat.,NEUTRAL,ENTAILMENT,N/A,"Standard CheckList report: Dataset: snli. Model: distilbert. Capability: lexical_overlap. Relation: directional. Input: The cat is above the box. [SEP] The box is above the cat.. Expected label: NEUTRAL. Predicted label: ENTAILMENT. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A1,CheckList + Attribution,snli_lex_0003,snli,distilbert,lexical_overlap,The cat is above the box. [SEP] The box is above the cat.,NEUTRAL,ENTAILMENT,N/A,"CheckList + Attribution report: Dataset: snli. Model: distilbert. Capability: lexical_overlap. Relation: directional. Input: The cat is above the box. [SEP] The box is above the cat.. Expected label: NEUTRAL. Predicted label: ENTAILMENT. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.697; cue attribution ratio=0.303. Top attributed tokens: [[""above"", 0.3027220693144391], [""the"", 0.23412037392336876], [""box"", 0.2090704114621683], [""cat"", 0.13906851161587827], [""is"", 0.11501863368414555]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
A2,CheckList + Attribution,snli_lex_0003,snli,distilbert,lexical_overlap,The cat is above the box. [SEP] The box is above the cat.,NEUTRAL,ENTAILMENT,N/A,"CheckList + Attribution report: Dataset: snli. Model: distilbert. Capability: lexical_overlap. Relation: directional. Input: The cat is above the box. [SEP] The box is above the cat.. Expected label: NEUTRAL. Predicted label: ENTAILMENT. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.697; cue attribution ratio=0.303. Top attributed tokens: [[""above"", 0.3027220693144391], [""the"", 0.23412037392336876], [""box"", 0.2090704114621683], [""cat"", 0.13906851161587827], [""is"", 0.11501863368414555]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
A1,CheckList + Counterfactual,snli_lex_0003,snli,distilbert,lexical_overlap,The cat is above the box. [SEP] The box is above the cat.,NEUTRAL,ENTAILMENT,N/A,"CheckList + Counterfactual report: Dataset: snli. Model: distilbert. Capability: lexical_overlap. Relation: directional. Input: The cat is above the box. [SEP] The box is above the cat.. Expected label: NEUTRAL. Predicted label: ENTAILMENT. The counterfactual prediction was ENTAILMENT, with counterfactual fail status=0. Counterfactual sensitivity CS=0.000. This report shows whether the model changed under a controlled counterfactual input, but it does not include token-level attribution or a full explanation-validated failure score.",,,,,
A2,CheckList + Counterfactual,snli_lex_0003,snli,distilbert,lexical_overlap,The cat is above the box. [SEP] The box is above the cat.,NEUTRAL,ENTAILMENT,N/A,"CheckList + Counterfactual report: Dataset: snli. Model: distilbert. Capability: lexical_overlap. Relation: directional. Input: The cat is above the box. [SEP] The box is above the cat.. Expected label: NEUTRAL. Predicted label: ENTAILMENT. The counterfactual prediction was ENTAILMENT, with counterfactual fail status=0. Counterfactual sensitivity CS=0.000. This report shows whether the model changed under a controlled counterfactual input, but it does not include token-level attribution or a full explanation-validated failure score.",,,,,
A1,X-CheckList,mnli_bench_0071,mnli,bert,semantic_role_sensitivity,"Have her show it,"" said Thorn. [SEP] Thorn said she should show her new sword.",NEUTRAL,CONTRADICTION,"General diagnostic failure: attribution/counterfactual evidence indicates mismatch (AM=0.50, CS=0.00); top tokens: sword:0.24, thorn:0.15, new:0.13, show:0.12, her:0.09.","X-CheckList report: Dataset: mnli. Model: bert. Capability: semantic_role_sensitivity. Relation: invariance. Input: Have her show it,"" said Thorn. [SEP] Thorn said she should show her new sword.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. Attribution evidence: AM=0.500, cue attribution ratio=0.000, top attributed tokens=[[""sword"", 0.24499034363270547], [""thorn"", 0.15301625871789892], [""new"", 0.1324418383670538], [""show"", 0.12486638560918135], [""her"", 0.0870897519107529], [""said"", 0.08185034077907591], [""should"", 0.06285174713081387], [""have"", 0.042120820339206416], [""she"", 0.036215613119892215], [""it"", 0.03455690039341912]]. Counterfactual evidence: counterfactual predicted label=CONTRADICTION, counterfactual fail status=1, CS=0.000. Explanation-Validated Failure Score EVFS=0.000. Diagnostic failure reason: General diagnostic failure: attribution/counterfactual evidence indicates mismatch (AM=0.50, CS=0.00); top tokens: sword:0.24, thorn:0.15, new:0.13, show:0.12, her:0.09.",,,,,
A2,X-CheckList,mnli_bench_0071,mnli,bert,semantic_role_sensitivity,"Have her show it,"" said Thorn. [SEP] Thorn said she should show her new sword.",NEUTRAL,CONTRADICTION,"General diagnostic failure: attribution/counterfactual evidence indicates mismatch (AM=0.50, CS=0.00); top tokens: sword:0.24, thorn:0.15, new:0.13, show:0.12, her:0.09.","X-CheckList report: Dataset: mnli. Model: bert. Capability: semantic_role_sensitivity. Relation: invariance. Input: Have her show it,"" said Thorn. [SEP] Thorn said she should show her new sword.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. Attribution evidence: AM=0.500, cue attribution ratio=0.000, top attributed tokens=[[""sword"", 0.24499034363270547], [""thorn"", 0.15301625871789892], [""new"", 0.1324418383670538], [""show"", 0.12486638560918135], [""her"", 0.0870897519107529], [""said"", 0.08185034077907591], [""should"", 0.06285174713081387], [""have"", 0.042120820339206416], [""she"", 0.036215613119892215], [""it"", 0.03455690039341912]]. Counterfactual evidence: counterfactual predicted label=CONTRADICTION, counterfactual fail status=1, CS=0.000. Explanation-Validated Failure Score EVFS=0.000. Diagnostic failure reason: General diagnostic failure: attribution/counterfactual evidence indicates mismatch (AM=0.50, CS=0.00); top tokens: sword:0.24, thorn:0.15, new:0.13, show:0.12, her:0.09.",,,,,
A1,Standard CheckList,mnli_bench_0071,mnli,bert,semantic_role_sensitivity,"Have her show it,"" said Thorn. [SEP] Thorn said she should show her new sword.",NEUTRAL,CONTRADICTION,N/A,"Standard CheckList report: Dataset: mnli. Model: bert. Capability: semantic_role_sensitivity. Relation: invariance. Input: Have her show it,"" said Thorn. [SEP] Thorn said she should show her new sword.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A2,Standard CheckList,mnli_bench_0071,mnli,bert,semantic_role_sensitivity,"Have her show it,"" said Thorn. [SEP] Thorn said she should show her new sword.",NEUTRAL,CONTRADICTION,N/A,"Standard CheckList report: Dataset: mnli. Model: bert. Capability: semantic_role_sensitivity. Relation: invariance. Input: Have her show it,"" said Thorn. [SEP] Thorn said she should show her new sword.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A1,CheckList + Attribution,mnli_bench_0071,mnli,bert,semantic_role_sensitivity,"Have her show it,"" said Thorn. [SEP] Thorn said she should show her new sword.",NEUTRAL,CONTRADICTION,N/A,"CheckList + Attribution report: Dataset: mnli. Model: bert. Capability: semantic_role_sensitivity. Relation: invariance. Input: Have her show it,"" said Thorn. [SEP] Thorn said she should show her new sword.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.500; cue attribution ratio=0.000. Top attributed tokens: [[""sword"", 0.24499034363270547], [""thorn"", 0.15301625871789892], [""new"", 0.1324418383670538], [""show"", 0.12486638560918135], [""her"", 0.0870897519107529], [""said"", 0.08185034077907591], [""should"", 0.06285174713081387], [""have"", 0.042120820339206416], [""she"", 0.036215613119892215], [""it"", 0.03455690039341912]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
A2,CheckList + Attribution,mnli_bench_0071,mnli,bert,semantic_role_sensitivity,"Have her show it,"" said Thorn. [SEP] Thorn said she should show her new sword.",NEUTRAL,CONTRADICTION,N/A,"CheckList + Attribution report: Dataset: mnli. Model: bert. Capability: semantic_role_sensitivity. Relation: invariance. Input: Have her show it,"" said Thorn. [SEP] Thorn said she should show her new sword.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.500; cue attribution ratio=0.000. Top attributed tokens: [[""sword"", 0.24499034363270547], [""thorn"", 0.15301625871789892], [""new"", 0.1324418383670538], [""show"", 0.12486638560918135], [""her"", 0.0870897519107529], [""said"", 0.08185034077907591], [""should"", 0.06285174713081387], [""have"", 0.042120820339206416], [""she"", 0.036215613119892215], [""it"", 0.03455690039341912]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
A1,CheckList + Counterfactual,mnli_bench_0071,mnli,bert,semantic_role_sensitivity,"Have her show it,"" said Thorn. [SEP] Thorn said she should show her new sword.",NEUTRAL,CONTRADICTION,N/A,"CheckList + Counterfactual report: Dataset: mnli. Model: bert. Capability: semantic_role_sensitivity. Relation: invariance. Input: Have her show it,"" said Thorn. [SEP] Thorn said she should show her new sword.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The counterfactual prediction was CONTRADICTION, with counterfactual fail status=1. Counterfactual sensitivity CS=0.000. This report shows whether the model changed under a controlled counterfactual input, but it does not include token-level attribution or a full explanation-validated failure score.",,,,,
A2,CheckList + Counterfactual,mnli_bench_0071,mnli,bert,semantic_role_sensitivity,"Have her show it,"" said Thorn. [SEP] Thorn said she should show her new sword.",NEUTRAL,CONTRADICTION,N/A,"CheckList + Counterfactual report: Dataset: mnli. Model: bert. Capability: semantic_role_sensitivity. Relation: invariance. Input: Have her show it,"" said Thorn. [SEP] Thorn said she should show her new sword.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The counterfactual prediction was CONTRADICTION, with counterfactual fail status=1. Counterfactual sensitivity CS=0.000. This report shows whether the model changed under a controlled counterfactual input, but it does not include token-level attribution or a full explanation-validated failure score.",,,,,
A1,X-CheckList,snli_lex_0003,snli,roberta,lexical_overlap,The cat is above the box. [SEP] The box is above the cat.,NEUTRAL,CONTRADICTION,"Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.82, CS=0.00; top tokens: box:0.31, cat:0.22, the:0.18, above:0.18, is:0.10.","X-CheckList report: Dataset: snli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The cat is above the box. [SEP] The box is above the cat.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. Attribution evidence: AM=0.818, cue attribution ratio=0.182, top attributed tokens=[[""box"", 0.3117218540523492], [""cat"", 0.22430154612955858], [""the"", 0.18276043201092249], [""above"", 0.18168998106852516], [""is"", 0.09952618673864459]]. Counterfactual evidence: counterfactual predicted label=ENTAILMENT, counterfactual fail status=0, CS=0.002. Explanation-Validated Failure Score EVFS=0.817. Diagnostic failure reason: Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.82, CS=0.00; top tokens: box:0.31, cat:0.22, the:0.18, above:0.18, is:0.10.",,,,,
A2,X-CheckList,snli_lex_0003,snli,roberta,lexical_overlap,The cat is above the box. [SEP] The box is above the cat.,NEUTRAL,CONTRADICTION,"Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.82, CS=0.00; top tokens: box:0.31, cat:0.22, the:0.18, above:0.18, is:0.10.","X-CheckList report: Dataset: snli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The cat is above the box. [SEP] The box is above the cat.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. Attribution evidence: AM=0.818, cue attribution ratio=0.182, top attributed tokens=[[""box"", 0.3117218540523492], [""cat"", 0.22430154612955858], [""the"", 0.18276043201092249], [""above"", 0.18168998106852516], [""is"", 0.09952618673864459]]. Counterfactual evidence: counterfactual predicted label=ENTAILMENT, counterfactual fail status=0, CS=0.002. Explanation-Validated Failure Score EVFS=0.817. Diagnostic failure reason: Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.82, CS=0.00; top tokens: box:0.31, cat:0.22, the:0.18, above:0.18, is:0.10.",,,,,
A1,Standard CheckList,snli_lex_0003,snli,roberta,lexical_overlap,The cat is above the box. [SEP] The box is above the cat.,NEUTRAL,CONTRADICTION,N/A,"Standard CheckList report: Dataset: snli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The cat is above the box. [SEP] The box is above the cat.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A2,Standard CheckList,snli_lex_0003,snli,roberta,lexical_overlap,The cat is above the box. [SEP] The box is above the cat.,NEUTRAL,CONTRADICTION,N/A,"Standard CheckList report: Dataset: snli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The cat is above the box. [SEP] The box is above the cat.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A1,CheckList + Attribution,snli_lex_0003,snli,roberta,lexical_overlap,The cat is above the box. [SEP] The box is above the cat.,NEUTRAL,CONTRADICTION,N/A,"CheckList + Attribution report: Dataset: snli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The cat is above the box. [SEP] The box is above the cat.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.818; cue attribution ratio=0.182. Top attributed tokens: [[""box"", 0.3117218540523492], [""cat"", 0.22430154612955858], [""the"", 0.18276043201092249], [""above"", 0.18168998106852516], [""is"", 0.09952618673864459]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
A2,CheckList + Attribution,snli_lex_0003,snli,roberta,lexical_overlap,The cat is above the box. [SEP] The box is above the cat.,NEUTRAL,CONTRADICTION,N/A,"CheckList + Attribution report: Dataset: snli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The cat is above the box. [SEP] The box is above the cat.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.818; cue attribution ratio=0.182. Top attributed tokens: [[""box"", 0.3117218540523492], [""cat"", 0.22430154612955858], [""the"", 0.18276043201092249], [""above"", 0.18168998106852516], [""is"", 0.09952618673864459]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
A1,CheckList + Counterfactual,snli_lex_0003,snli,roberta,lexical_overlap,The cat is above the box. [SEP] The box is above the cat.,NEUTRAL,CONTRADICTION,N/A,"CheckList + Counterfactual report: Dataset: snli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The cat is above the box. [SEP] The box is above the cat.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The counterfactual prediction was ENTAILMENT, with counterfactual fail status=0. Counterfactual sensitivity CS=0.002. This report shows whether the model changed under a controlled counterfactual input, but it does not include token-level attribution or a full explanation-validated failure score.",,,,,
A2,CheckList + Counterfactual,snli_lex_0003,snli,roberta,lexical_overlap,The cat is above the box. [SEP] The box is above the cat.,NEUTRAL,CONTRADICTION,N/A,"CheckList + Counterfactual report: Dataset: snli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The cat is above the box. [SEP] The box is above the cat.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The counterfactual prediction was ENTAILMENT, with counterfactual fail status=0. Counterfactual sensitivity CS=0.002. This report shows whether the model changed under a controlled counterfactual input, but it does not include token-level attribution or a full explanation-validated failure score.",,,,,
A1,X-CheckList,snli_bench_0235,snli,distilbert,semantic_role_sensitivity,A man rides a kicking bull in a bullpen. [SEP] The man is in a competition for bullriding.,NEUTRAL,ENTAILMENT,"General diagnostic failure: attribution/counterfactual evidence indicates mismatch (AM=0.50, CS=0.00); top tokens: bull:0.20, riding:0.14, pen:0.11, competition:0.11, rides:0.11.","X-CheckList report: Dataset: snli. Model: distilbert. Capability: semantic_role_sensitivity. Relation: invariance. Input: A man rides a kicking bull in a bullpen. [SEP] The man is in a competition for bullriding.. Expected label: NEUTRAL. Predicted label: ENTAILMENT. Attribution evidence: AM=0.500, cue attribution ratio=0.000, top attributed tokens=[[""bull"", 0.19500508014695514], [""riding"", 0.1449492016369963], [""pen"", 0.11305725135930762], [""competition"", 0.11045702344413687], [""rides"", 0.10839175133625327], [""a"", 0.10492769001759454], [""kicking"", 0.08018896094468875], [""in"", 0.03736557445405577], [""man"", 0.03551336558281349], [""is"", 0.027971551779533164]]. Counterfactual evidence: counterfactual predicted label=ENTAILMENT, counterfactual fail status=1, CS=0.000. Explanation-Validated Failure Score EVFS=0.000. Diagnostic failure reason: General diagnostic failure: attribution/counterfactual evidence indicates mismatch (AM=0.50, CS=0.00); top tokens: bull:0.20, riding:0.14, pen:0.11, competition:0.11, rides:0.11.",,,,,
A2,X-CheckList,snli_bench_0235,snli,distilbert,semantic_role_sensitivity,A man rides a kicking bull in a bullpen. [SEP] The man is in a competition for bullriding.,NEUTRAL,ENTAILMENT,"General diagnostic failure: attribution/counterfactual evidence indicates mismatch (AM=0.50, CS=0.00); top tokens: bull:0.20, riding:0.14, pen:0.11, competition:0.11, rides:0.11.","X-CheckList report: Dataset: snli. Model: distilbert. Capability: semantic_role_sensitivity. Relation: invariance. Input: A man rides a kicking bull in a bullpen. [SEP] The man is in a competition for bullriding.. Expected label: NEUTRAL. Predicted label: ENTAILMENT. Attribution evidence: AM=0.500, cue attribution ratio=0.000, top attributed tokens=[[""bull"", 0.19500508014695514], [""riding"", 0.1449492016369963], [""pen"", 0.11305725135930762], [""competition"", 0.11045702344413687], [""rides"", 0.10839175133625327], [""a"", 0.10492769001759454], [""kicking"", 0.08018896094468875], [""in"", 0.03736557445405577], [""man"", 0.03551336558281349], [""is"", 0.027971551779533164]]. Counterfactual evidence: counterfactual predicted label=ENTAILMENT, counterfactual fail status=1, CS=0.000. Explanation-Validated Failure Score EVFS=0.000. Diagnostic failure reason: General diagnostic failure: attribution/counterfactual evidence indicates mismatch (AM=0.50, CS=0.00); top tokens: bull:0.20, riding:0.14, pen:0.11, competition:0.11, rides:0.11.",,,,,
A1,Standard CheckList,snli_bench_0235,snli,distilbert,semantic_role_sensitivity,A man rides a kicking bull in a bullpen. [SEP] The man is in a competition for bullriding.,NEUTRAL,ENTAILMENT,N/A,"Standard CheckList report: Dataset: snli. Model: distilbert. Capability: semantic_role_sensitivity. Relation: invariance. Input: A man rides a kicking bull in a bullpen. [SEP] The man is in a competition for bullriding.. Expected label: NEUTRAL. Predicted label: ENTAILMENT. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A2,Standard CheckList,snli_bench_0235,snli,distilbert,semantic_role_sensitivity,A man rides a kicking bull in a bullpen. [SEP] The man is in a competition for bullriding.,NEUTRAL,ENTAILMENT,N/A,"Standard CheckList report: Dataset: snli. Model: distilbert. Capability: semantic_role_sensitivity. Relation: invariance. Input: A man rides a kicking bull in a bullpen. [SEP] The man is in a competition for bullriding.. Expected label: NEUTRAL. Predicted label: ENTAILMENT. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A1,CheckList + Attribution,snli_bench_0235,snli,distilbert,semantic_role_sensitivity,A man rides a kicking bull in a bullpen. [SEP] The man is in a competition for bullriding.,NEUTRAL,ENTAILMENT,N/A,"CheckList + Attribution report: Dataset: snli. Model: distilbert. Capability: semantic_role_sensitivity. Relation: invariance. Input: A man rides a kicking bull in a bullpen. [SEP] The man is in a competition for bullriding.. Expected label: NEUTRAL. Predicted label: ENTAILMENT. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.500; cue attribution ratio=0.000. Top attributed tokens: [[""bull"", 0.19500508014695514], [""riding"", 0.1449492016369963], [""pen"", 0.11305725135930762], [""competition"", 0.11045702344413687], [""rides"", 0.10839175133625327], [""a"", 0.10492769001759454], [""kicking"", 0.08018896094468875], [""in"", 0.03736557445405577], [""man"", 0.03551336558281349], [""is"", 0.027971551779533164]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
A2,CheckList + Attribution,snli_bench_0235,snli,distilbert,semantic_role_sensitivity,A man rides a kicking bull in a bullpen. [SEP] The man is in a competition for bullriding.,NEUTRAL,ENTAILMENT,N/A,"CheckList + Attribution report: Dataset: snli. Model: distilbert. Capability: semantic_role_sensitivity. Relation: invariance. Input: A man rides a kicking bull in a bullpen. [SEP] The man is in a competition for bullriding.. Expected label: NEUTRAL. Predicted label: ENTAILMENT. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.500; cue attribution ratio=0.000. Top attributed tokens: [[""bull"", 0.19500508014695514], [""riding"", 0.1449492016369963], [""pen"", 0.11305725135930762], [""competition"", 0.11045702344413687], [""rides"", 0.10839175133625327], [""a"", 0.10492769001759454], [""kicking"", 0.08018896094468875], [""in"", 0.03736557445405577], [""man"", 0.03551336558281349], [""is"", 0.027971551779533164]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
A1,CheckList + Counterfactual,snli_bench_0235,snli,distilbert,semantic_role_sensitivity,A man rides a kicking bull in a bullpen. [SEP] The man is in a competition for bullriding.,NEUTRAL,ENTAILMENT,N/A,"CheckList + Counterfactual report: Dataset: snli. Model: distilbert. Capability: semantic_role_sensitivity. Relation: invariance. Input: A man rides a kicking bull in a bullpen. [SEP] The man is in a competition for bullriding.. Expected label: NEUTRAL. Predicted label: ENTAILMENT. The counterfactual prediction was ENTAILMENT, with counterfactual fail status=1. Counterfactual sensitivity CS=0.000. This report shows whether the model changed under a controlled counterfactual input, but it does not include token-level attribution or a full explanation-validated failure score.",,,,,
