sentence,label,idx,dataset,task,text,premise,hypothesis,question1,question2,sentence1,sentence2
,0,,imdb,sentiment,"I love movies, all genres, and from big dollar spectacles to small indie projects. But even making allowance for this piece of junk being 25 years old and its attempt at homage to the 1950's it just suffers in almost aspect, by which we judge films.<br /><br />Throughout the movie, I was reminded of several ""student films,"" I've had a chance to watch, efforts where creativity is required to fill gaps where funds are needed. <br /><br />All in all, chances are there are much better uses for 90 minutes of your life.<br /><br />2/10",,,,,,
,1,,imdb,sentiment,"This is an amazingly well-filmed early talkie adaptation of the Eugene O'Neill play. Its major drawback is a static camera, and as a result it comes off much of the time as the filmed play it is, which is a pity, for it's a good piece of primitive moviemaking, made at a time when sound was posing all kinds of technical problems, and as a result most films were experimental whether or not this was their maker's intention. Garbo is as mysterious and charismatic as she was in her silent films, and her entrance is still classic. Her voice is strangely deep, almost boyish, which only enhances her already seductively eccentric persona. As her boyfriend, Charles Bickford is appropriately virile,--he was apparently born craggy--and a perfect counterpart to the divine Garbo. His Irish brogue is not bad at all, and he seems always a natural man of the sea, very O'Neill-like in his independent, brooding nature. As Garbo's (very) confused father, George Marion seems truly from another time. He has the sort of face and voice,--open, unmannered, totally without guile--that has vanished from the earth. Marie Dressler is also in the O'Neill swing of things. Her blank expression and intensity around the eyes speaks volumes, as she plays her boozy character as a woman at times bordering on psychosis. Poetic license, perhaps, as this is not in the script, but we can forgive Miss Dressler's excesses; she is too good at it not to. The story ends with a movement to the next thing, as distinct from resolution, which isn't the author's cup of tea; and those who like their films neatly worked out in the end will be disappointed by the absence of any real surprise. In Anna Christie we are in O'Neill country, a place of sea, storms and fog, a feeling of all-pervading and damnable uncertainty, which we would now call ambivilance, or anxiety neurosis. Rather than analyze this mood the author simply and wisely presents it, as weather, land, ocean and people intertwine and address one another in a unique language we feel priveleged to have heard.",,,,,,
,1,,imdb,sentiment,"Ex-reporter Jacob Asch (Eric Roberts) is hired by an acquaintance (Raymond J. Barry) to find his ex-wife and son. Asch heads to Palm Springs and quickly locates the ex Laine (Beverly D'Angelo) with someone he believes to be the son (a young Johnny Depp). But things turn out to be a bit more complicated as Asch discovers former white trash Laine has definitely married up in the form of millionaire Simon Fleischer (Dan Hedaya) and her first son is nowhere to be seen.<br /><br />Director/writer Matthew Chapman is channeling BODY HEAT here and this mid-80s neo-noir is watchable enough thanks to an all-star cast and nice locations. D'Angelo was still looking good around this time, so she makes for a good femme fatale and isn't afraid to show some skin. However, the mystery isn't very compelling in the end. Co-starring Dennis Lipscomb, Emily Longstreth and Henry Gibson. Chapman made several thrillers in the 80s, but his ""biggest"" career achievement was co-authoring the screenplay for the infamous COLOR OF NIGHT.",,,,,,
,0,,imdb,sentiment,"I'd have to say that I've seen worse Sci Fi Channel originals, but this Nu Image shonker from Yossi Wein was still quite a drag. The big problem with it is that it simply isn't convincing, not just its creature, but acting, writing and any attempts at drama. The direction lacks any kind of flair and the script from Boaz Davidson and Danny Lerner never really works, predictable, often laughable, whilst it delivers less howlers than a fair few of these sorts of films it never offers anything to engage or raise the pulse. The actors do their best, but with such material their workmanlike efforts have little effect. Matthew Reilly Burke is a blandly watchable hero, Meredith Morton similar as a blandly watchable love interest. Actually she was a bit less convincing but at least she was easy on the eyes. The film at least has the dignity to bowl along at a reasonable pace, but its biggest plus is that the octopus isn't entirely CGI rendered. So even though it doesn't look good, at least there are a few legit scenes of characters inanely grappling with rubbery tentacles in pretty amusing fashion. I also chuckled at the disparities between different representations of the octopus, the cgi shots of the creature as a whole vary over the course of the film, they are also different not only in size but appearance to the practical shots of it, and there are scenes where the tentacle action suggests that the makers had abandoned pretending they were making a film about an octopus and just envisioned their creature as a bunch of miscellaneous tentacles. The scenes of the creature attacking people get old pretty swiftly, but there are a few funny scenes where it takes on other things, like a boat and a crane. Yes, these scenes are poor, but they did make me chuckle. Undisputable highlight though is a hilarious sequence in which the octopus takes on a New York landmark, the scene may not be much more than a minute but it really is inspired, and well worth looking up on youtube. Apart from that things are uninspired all round, (a PG level lack of gore or nastiness stops this one from even pulling off much in the trash good times) the film does take a turn into semi gripping disaster movie territory at the end, but I can't really give it credit because the best shots in the last few scenes were culled from the Stallone flick Daylight (which by my recollection is quite good). Altogether this was pretty rubbishy stuff and not something I'd really recommend to anyone except creature feature die hards. Better than a poke in the eye with a wet stick, but not by much.",,,,,,
,1,,imdb,sentiment,"This is the best 3-D experience Disney has at their themeparks. This is certainly better than their original 1960's acid-trip film that was in it's place, is leagues better than ""Honey I Shrunk The Audience"" (and far more fun), barely squeaks by the MuppetVision 3-D movie at Disney-MGM and can even beat the original 3-D ""Movie Experience"" Captain EO. This film relives some of Disney's greatest musical hits from Aladdin, The Little Mermaid, and others, and brought a smile to my face throughout the entire show. This is a totally kid-friendly movie too, unlike ""Honey..."" and has more effects than the spectacular ""MuppetVision""",,,,,,
,1,,imdb,sentiment,"After 10 years, it is finally save to say that our Belgian Action Star is back again. I personally found this one to be even better than Wake Of Death, which makes it his best movie in... 10 years!! Okay, it is not like his highlight years as Timecop, Universal Soldier, Sudden Death or even his best effort to date: Hard Target (one of the best action movies ever made by one of the best action directors John Woo.) The Action is good, the story is exciting, the dialogue is quite funny, this one is better than expected.The bad guys are awesome like in Hard Target, and the fight scenes are ""old school"". Real fans know what to expect. I must say, I gave up on him, but Van Damme is finally back. More Please....",,,,,,
,0,,imdb,sentiment,"I was on a British Airways flight from London to New York when I saw this movie. I wish I could have fallen asleep. The story line was very thin and the editing crew did their best to stretch it out as long as they did.<br /><br />Gary, played by Andy Garcia, was such an unlikable character that I found it hard to be supportive of him. Andy's acting ability is good but not good enough to make up for the poor writing in this movie.<br /><br />Andie MacDowell did a fine job with her portrayal of Linda, Gary's romantic interest. I can not say anything bad about Andie, I always enjoy her acting. The problem here is that the romance between Andy and Andie is so far fetched and unbelievable. The two do not make a good pair on the big screen.<br /><br />The end of the movie was almost as much of a let down as the movie itself. A nod from the Pope and all is forgiven, come on. The event that allows this movie to have a some what happy ending and that the writers would expect us to accept it is pathetic. Gary does not change and only by the death of a dear friend does his situation get better.<br /><br />There are tons of great movies that should be seen before this one. Don't waste your time.<br /><br />",,,,,,
,1,,imdb,sentiment,"This is a cherished movie from my childhood!! I can still hum the theme song at the drop of a hat!! I remember getting to stay up late to watch this movie with my father, usually two to three times a year. We always referred to it as ""Giant Robot"". Although the effects in this movie are crude compared to today's standards, they were perfect for this movie's genre. I am also a BIG fan of the Japanese ""Monster"" movies, so this movie fell right in to place with the others. It's been years since I've seen this movie & would love to get my hands on a copy of it to share with my 8 year old daughter.",,,,,,
,0,,imdb,sentiment,"First and foremost this movie has the stupidest plot of any movie I have ever seen, and unfortunately I had to see this one. I was flipping through channels one day and stumbled upon this lousy excuse for a movie, and it confirmed what I have been saying for a long time. Carrot Top is not an actor, and IS NOT funny in the slightest sense. He acts like he's a great comedian and thinks he commands the audiences attention. Frankly he has the acting ability of a 10 year old class clown, scratch that less than a 10 year old's ability to compare them to Carrot Top would be a grave insult upon their good name. This movie tries to be funny using dull one liners which all seem to have been lifted from 50's cartoons. By the end I would have done anything to erase my memory of this movie, but sadly the memories stay with me. The only thing I can do is to warn others to never to watch this movie. However it proves the rumors true Carrot Top can't act worth a damn.",,,,,,
,0,,imdb,sentiment,"It`s funny how instinct warns you of something . For example as soon as the company credits read Nu Image I knew instinctively I`d seen a really crap film by them somewhere before but couldn`t remember where . Nevertheless I just knew JUDGE AND JURY was going to be crap and it was . Maybe I`m psychic ?<br /><br />!!!! MILD SPOILERS !!!!<br /><br />The opening is rather violent with several people getting blown away for no more reason than being in the wrong place at the wrong time . I don`t know about you but I`m geting slightly fed up with exploitive violence onscreen nowadays along with bad language , especially if it`s spouted by actors as bad as the ones in this movie . Anyway the plot revolves around the bad dude getting executed and coming back to reek revenge on the man who shot his wife . Oh did I mention the bad dude and his wife murdered a couple of people on their wedding night ? Yeah he`s a serious badass mofo . In fact he`s so bad ( And I don`t mean the acting - I`ll get to that in a moment ) that he`s impossible to take seriously and this is before he`s executed only to return as Elton John , Elvis , a French chef etc . I wonder if Keith David got paid for this ? because he looks lke he`s having so much fun on screen that`s the only reason he`s playing the role . What a pity this reviewer didn`t have any fun whatsoever watching JUDGE AND JURY . Hey maybe the producers could send me Keith`s fee ? Gawd only knows I deserve it.<br /><br />I disliked this movie a lot as if you hadn`t guessed and my main beef isn`t with the stupid plot or the cheap production values but with its attitude to violence . If like me you`ve had a wine bottle cracked over your head or been kicked in the ribs very hard several times you`ll know violence is an obscene painful thing , but JUDGE AND JURY will have you believe that if you`re thrown through a window , crash through some bannisters and fall twenty odd feet onto a table not only will you be unhurt but you`ll be able to outrun a couple of rabid devil dogs . It could of course be argued that any film starring Sly , Arnie or Bruce also suffers from this same dishonest showing of violence but with JUDGE AND JURY it yanked my chain",,,,,,
,0,,imdb,sentiment,"""Fate"" leads Walter Sparrow to come in possession of a mysterious novel that has eerie similarities and connections to his life, all based around the number 23. As the story unfolds in real life and fiction, Sparrow must figure out his connection to the book and how the story will eventually end.<br /><br />The Number 23 offers an intriguing premise that is undone by a weak execution. The film just failed on many different levels which is pretty disappointing because it held so much potential. The screenplay was probably the worst part about it. It was filled with silly sequences and laughable dialog that just killed the mood of the movie. It seemed like the screenwriter had a good idea, he just didn't know how to develop it to stretch over a ninety minute running time. The second half of the film was running low on ideas, the twist was pretty obvious and the ending was awful.<br /><br />Joel Schumacher is responsible for one of the worst movies ever and he did redeem himself a little with Phone Booth and a few other films but The Number 23 reminds me that he's still capable of making a stinker. He has the movie drenched in style but he just can't get a good focus. He moves the film at a clunky and slow pace. He switches from reality to what's actually happening in the book which quickly got annoying. The actual book in the film that's titled ""The Number 23"" is an awful detective story and the audience gets stuck listening to Carrey narrate it which just bored me to tears. When Carrey is finally done with book, we get stuck watching him run around trying to solve the mystery. At this point, the audience has lost interest and there is no real tension. We impatiently wait for the movie to reach it's horrible ending and unconvincing explanation before celebrating that film has finally finished.<br /><br />The acting was mostly average and pretty forgettable. Jim Carrey was clearly just sleepwalking through his performance and he didn't even seem to be trying. He was either completely over the top in some scenes or just very wooden. His narration was a complete bore to listen to and he put no life inside his character. Virginia Madsen did the best she could with a limited role but she needs to pick better scripts. Logan Lerman was pretty bland as was Danny Huston. Overall, The Number 23 was an awful thriller that offered more laughs than suspense or thrills. Rating 3/10",,,,,,
,1,,imdb,sentiment,"This Aussie flick filmed in 1999 does an OK job of portraying a bunch of small-time crooks in Kings Cross, Sydney. The plot focuses on the plight of a young would-be crim who's life is in danger after botching a job for his future boss. Very well acted by Heath Ledger and Bryan Brown. The plot is fairly believable with some very humorous moments in one scene which revolves around a bank heist. The setting-up of various themes central to the story is quite well done. Eg. When one crim is searching for bullets for his gun. I personally have a dislike for gratuitous violence in movies, and in this regard, the movie did not offend. It attempted and succeeded in showing us the human side of the baddies such as Bryan Brown. The rest of the cast did an OK job, without any real stand-outs that I remember. The direction was very good in succeeding in making a believable movie that provided good entertainment. The main overriding feature that makes this a good movie is the acting and direction of Heath Ledger and his successful portrayal of a naive young man who makes stupid mistakes for short-term gratification, thinking he is indestructible and not realizing that there are sinister people waiting to pounce on any mistake. The director, Gregor Jordan, deserves special mention. Rating in my book - 7 (of 10).",,,,,,
,1,,imdb,sentiment,"This almost documentary look at an enterprising boy who lives in the body shop area outside of New York is real all the way. Real lighting. Real sound. Less editing in the whole movie than in 1 minute of most movies. And while there is very little script, there is a story. Shot in primary colors, almost all red, white, blue and yellow, we get a real sense of the life of a boy who is making something from nothing. He has a place to live that he makes his own, has a good job, and is trying to bring his sister into his little universe. The people in the chop shop area also give us a look at this culture which I didn't know about. They mostly seem decent and pay Ale what seems like daily, seeming truly concerned about his well being. The actor (I think) playing Ale says more with one facial expression than one can imagine. This reminded me what a true small movie can accomplish. It shows what kids are capable of, even without much support and love. Definitely recommend.",,,,,,
,0,,imdb,sentiment,"I suffered the watching of this movie at Sitges Festival last month. If there would be a possibility of ""unfilm"" a movie to avoid its existence, this should be the first in the list. María Lidón isn't a director, she is just a dumb woman that pretends that holding a camera with the hand and shout ""action"" makes her a professional film maker. What a mistake! The movie itself is pointless and a total waste of good actors that could be doing something better in another project. Val Kilmer does nothing but place his face in front of the camera. His character don't have specific weight in the movie. The same thing can tell about Joss Ackland, Vincent Gallo or Joaquim De Almeida. It's a shame the way Rade Serbedzija's character has been written. WARNING SPOILERS<br /><br />He spends most of the time alone in the tunnels talking with himself in the way (now I'm doing this, now I'm low of bats, I'll search in my bag, now I'm turning left, now I'm turning right...) only to bring the audience a clear idea about his actions. It's simply nonsense and proves the lack of talent of the director. END OF SPOILERS<br /><br />The usual joke about this piece of garbage among the audience was that the title of the movie itself brought the clue about the rating everyone should give it: ZERO",,,,,,
,0,,imdb,sentiment,"To some of us, director Ernst Lubitsch, adored for his underlying cheekiness and ironic comic touches, was rather wet when it came to picking material. It isn't that Lubitsch is overrated--on the contrary, he probably was ahead of his time in terms of a visual narrative--yet the projects he became attached to (or was assigned to) are not quite the landmarks of comedy his fans like to label them. With ""Heaven Can Wait"", a screen-adaptation of Lazlo Bus-Fekete's play ""Birthday"", Lubitsch is saddled with sleepy Don Ameche in the lead--and the combination of an anemic plot, a colorless star, and a musty flashback-framework stymies the director. A wicked man at the turn of the century ""falls asleep without realizing it"", presenting the facts of his life in front of Hell's entrance. Ameche...wicked? That was problem number one. The promising opening sequence (set in the Hades lobby) quickly gives way to dreary whimsy, and the supporting cast is of little help. *1/2 from ****",,,,,,
,0,,imdb,sentiment,"A fine line up of actors and a seemingly nice plot -- though not original -- promised me a nice evening in front of the TV. I was disappointed. The actors delivered up to standard (Juliette Lewis cuddly as ever; William Hurt solid but in the background; Shelley Duvall convincing as ever) but the story was too thin to keep me engaged to the story and, the twist to the finale was too obvious and too late; there was only one character who was nice to he girl, so guess what?! Then the final after-twist I do not know what to think of that. The boyfriend and the neighbor? Contract with the Devil, or just to get her to move in? What! The film had a nice idea behind it, but the idea was not worked out in detail. It could have been good, but it was not. Too many loose ends to tie up, Columbo would say.",,,,,,
,0,,imdb,sentiment,"This is so overly clichéd you'll want to switch it off after the first 45 minutes. The beginning is very interesting, with a fair going on and someone gets killed. This movie would have been better, set on this setting.<br /><br />So, Jill Johnson is a depressed sprinter with boyfriend issues. I don't see the point of adding her breakup with her boyfriend occurs in any of the events in the story.<br /><br />Since Jill has come home late, her father sends her to babysit for the Mandrakis's in their glamorous home in a deserted lake. The kids are sleeping and the maid is cleaning, another empty house to the side for their son who's at college. OK.<br /><br />After about half an hour of her stalking around the house by herself, she gets a couple of hang ups. Ooh, scary ones. TO which her friend comes to the rescue, to come up with a couple of high school lines about 'love' and whatever. Friend leaves and goes to her car. TO which then, she drops her keys. Uhhh...then the music! DumDumDum..! She fumbles to pick them up, and gets into her car. Which of course, doesn't start. How cliché'd is that..? So..She disappears =D Jill, alone again. UH. (Most of this movie is with her by herself, so there's not much dialog) So more hangups, she calls the police. Who say they cant help her, but call back if she has any more problems.<br /><br />So then she suspects that her boyfriend is calling, or her boyfriends friends are calling. They have been but only once. Like thats supposed to be scary much? Oh, and did I mention? Her friend just now comes on caller ID and some creepy man voice comes on. She gets all freaked out and shyt.<br /><br />Yeah, so skip that. She see's the light in the house of the Mandrakis's son go on. So she runs through the woods with music as her companion and goes in. Bleheh.<br /><br />AH ITS SO BORING I CANT CONTINUE!!!!!!!!!",,,,,,
,0,,imdb,sentiment,"After completing the lackluster novel, Heart of Darkness, I moved on to watch the movie, which was a complete and absolute disappointment. At the onset, I expected that the movie would help put together the jigsaw puzzle of a book. However, even though I had read the novel, the movie still made no sense at all, so I can't imagine how lost I would be if I had skipped the book altogether. It seemed as though the writers picked out their favorite parts and put them in the movie, and left out anything that may assist the viewers in comprehending the meaningless plot. This dreadful movie made no sense at all, and I would strongly recommend against watching it, as it will do nothing more than leave you completely baffled and bewildered.",,,,,,
,0,,imdb,sentiment,"This movie examines the now infamous Wannsee Conference where top Nazis gathered to discuss the organisation and implementation of the ""Final Solution"" First off, I want to say I was amazed to see Kenneth Branagh play a Nazi. With the slicked back blonde hair, he certainly looked the part but he didn't really act the part well. There was none of the menace & cruelty and in the end, he came out looking like a grinning cheerleader, keeping the meeting going. The real Heydrich would not have let the conference get out of control the way it did in the film.<br /><br />The best performance of all was undoubtedly Colin Firth who played Dr William Stuckart, the man who wrote the 1935 Nuremberg race laws and who gave ""legal respectibility"" to everything the Nazis did. Firth's performance was stunning, the main vocal opponent to what Heydrich was proposing. The best part of all was when he was verbally dressing down one of the Nazi thugs. The thug muttered ""I'll remember you"" and Firth replies ""you should! I'm very well-known!!"" The film is historically accurate but let's boil it down to what it really is - 90 minutes of a group of men around a table discussing, shouting and bragging. There's no excitement, no real conflicts (except the brief argument). It's just 90 minutes of talking! Same room, same table, same people.<br /><br />I'm not sure if the DVD is worth the money. I for one felt short-changed.",,,,,,
,0,,imdb,sentiment,"From the beginning of this film,with it's ""The Lost boys"" rip off opening sequence, to the bad wire work and even worse dialog ending, this movie slimed along at a snail's pace. ""The Covenant"" came highly recommended from some of my co-workers, who I am thoroughly convinced were playing a practical joke on me. At least I hope that was the intention and their taste isn't that bad! This movie was not much longer than an hour and a half, yet felt much much longer then that. The story was so basic that it could have been summed up in about 15 minutes, maximum. They could have at least filled the rest of the movie with some entertaining magic or fight scenes, however someone decided,(maybe the director, but I don't know if anyone really ""directed"" this movie) that it was going to be filled with some poorly executed ""artsy"" camera shots, and nonsensical scenes of the ""boys"" swimming and getting into bar fights. About half way through this film I thought that maybe bashing my head against a wall would be more entertaining, and partially to rid myself of this horrible dirty feeling I had for continuing to watch it. . So I did bash my head against a wall, and I did enjoy it more then the movie! I watched it all the way to the bitter end, hoping it would eventually offer me more enjoyment. Nope,my efforts were rewarded with ""How about I make you my Whee-aytch!"" I vomited, and then just felt embarrassment for the screen writer and pity for the poor actor who had to deliver this drivel. The acting really wasn't as bad as other reviewers seemed to think, but even the most talented thespian could not saved this work, and work it did, on my nerves! I give movies a chance, even bad ones because they usually offer some form of enjoyment, and this actually wasn't the worst movie I have ever seen. After it was over I did feel like watching the movie ""Stealth"" again and WOW it was so much better this time around! Oh yeah Case in point, don't bother with this movie, really, don't. Watch a few episodes of ""Charmed"", and watch ""The Lost boys"" after having a fair amount of alcohol, and you will be a much better person. If you do fall into the same trap that I did and watch ""The Covenant"", make sure to keep all sharp objects far, far away from yourself, you'll thank me for it.",,,,,,
,1,,imdb,sentiment,"The Merchant of Four Seasons is a film about a lack of love. The film starts off with the main character; Hans Epp, returning from a spell in the foreign legion. He returns to his mother, not to be told how much she loves him, or how much she's missed him; but to be told that he is worthless and, even worse, that she would have preferred the man he went with to have come back instead. It is the character's relation to women that makes this film so hateful; the fact that his wife is taller than him is symbolic of his relation to the other gender; he is consistently humiliated by them, and it is through his relations with them that his life isn't as great as it could have been. This is also shown clearly by the way he treats his wife after a drink. He lost his job as a policeman through lust for a woman, and even his wife; a woman that is supposed to love him, never really shows any affection for him. Even at the end, his wife is more bothered about what her and her daughter will do than the state of her husband.<br /><br />The Merchant of Four Seasons is a thoroughly unpleasant film. There isn't a scene in the movie where someone is happy, and not only that; but the movie seems deliriously blissful to wallow in the misery of it's central characters. The movie is certainly not recommended to anyone who is currently having a hard time, that's for sure. Despite all the misery, the film never steps out the bounds of reality; every event in this movie can - and most probably has - happened, and that only serves in making the movie more shocking. The film is, of course, helmed by Rainer Werner Fassbinder; the cult German director that committed suicide in 1982. This is only my second taste of the man's work, but through just two films, it is easy to get an idea of the type of art that he creates. Both films are downtrodden and gritty - yet realistic pieces of art. His characterization in this movie is subtle; we only ever get to know the characters through their plight's and not through their character. This is a very clever way of showing the audience that it is their surroundings that define the people in the film, not the people themselves - and as nearly everyone that sees the film knows what living in an urban society is like, it wont difficult for the majority of people to relate to. <br /><br />The Merchant of Four Seasons is not a film that is easily forgettable; the movie is high on substance and low on style, and that makes for a very memorable picture, and one that everyone who considers themselves to be a fan of cinema should experience. It is with that in my mind that I give this film my highest recommendations; it's not sweet and it's not pleasant, but you will not see a more realistic portrayal of depression, and this is most certainly a movie that will stay with you.",,,,,,
,1,,imdb,sentiment,"Although little more than a pleasant 11-minute musical diversion (it's rightly billed as a ""Tabloid Musical"") EVERY Sunday is one of the most famous and precious documents in cinematic history, since it provides an invaluable look at the burgeoning talents of two of the screen's most talented and beloved musical performers: Deanna Durbin and Judy Garland.<br /><br />Although often cited as an screen test of sorts, produced by MGM to test the adolescent appeal of studio contractees Durbin and Garland whose options were reportedly coming up for renewal, this assertion is not entirely accurate. By the time EVERY Sunday was produced in July, 1936, Deanna Durbin's contract with MGM had already lapsed and she had been immediately signed by Universal a month earlier, in June 1936.<br /><br />However, a provision in Durbin's MGM contract permitted the studio to exercise an option on her services for up to sixty days, providing she had not yet begun work on a picture at her new studio. As Durbin's debut vehicle, THREE SMART GIRLS, was still not ready to begin filming, MGM chose to exercise its' option and, although officially under contract to Universal at the time, Durbin found herself back on the MGM lot filming this agreeable short subject with fellow adolescent singing hopeful, Judy Garland.<br /><br />This, along with Garland's far more extensive prior professional performing experience/training (which included appearances in several earlier movie shorts), may explain why EVERY Sunday often seems to favor Judy Garland over Deanna Durbin, giving Garland more lines to speak and an original song (""Americana"") to sing, while Durbin offers the popular classical art song, ""Il Bacio"" by Luigi Ardiiti. Certainly, it would make perfect sense that MGM would want to favor one of its' own contract players over another from a rival studio.<br /><br />Ironically, although Garland's character is the more overtly pro-active one of the two girls in this short, it would be Durbin's feisty and impulsive ""Little Miss Fixit"" screen persona at Universal which would propel her to instantaneous worldwide super stardom as the world's first ""Teen Idol"" with her debut vehicle, THREE SMART GIRLS, while Garland's more passive ""wistful wallflower"" adolescent image would see her generally cast in supporting roles opposite frequent screen partner Mickey Rooney and (in ZIEGFELD GIRL) the up-and-coming Lana Turner. Not until her fifteenth MGM feature, 1942' FOR ME AND MY GAL (which was also her first fully ""adult"" role) would Garland achieve the solo above-the title billing and ""solo attraction"" status of a true superstar that Durbin had attained instantaneously six years earlier.<br /><br />It is entirely inaccurate, therefore, to assert that Garland was the only ""superstar"" attraction of the two girls, as Durbin attained this status with press 'n public, almost a decade before her MGM rival. Literally in foreclosure at the time of her signing, the on screen evidence strongly suggests that Universal was much quicker to realize Deanna's full superstar potential than MGM was with Judy, and it's worth noting that almost every notable accomplishment Garland achieved at MGM, from superstar billing, to having starring vehicles specially written to showcase her talents and appeal, to being invited to plant her footprints in the forecourt of Graumann's Chinese Theater, to receiving an ""Honorary"" Oscar"" in recognition for her talent, Deanna Durbin received well before her gifted MGM contemporary.<br /><br />In any case, EVERY Sunday is a delightful, utterly unpretentious musical short. Its plot line (Durbin and Garland use their singing talents to save Durbin's grandfather from being forcibly retired by the town council from conducting his Sunday concerts in the park), presages the plot lines of both Garland's ""Let's Put On a Show"" musicals with Mickey Rooney and Durbin's 100 MEN AND A GIRL. Unlike Garland's later BABES films, the short never treats the insubstantial storyline seriously, and consequently, its' eleven minute running time flies by.<br /><br />Of course, the true magic of EVERY Sunday is in observing the already remarkable performing talents/screen presences of Durbin and Garland at the very beginning of their legendary careers. Both girls, even at this early stage, possessed remarkable screen presences and are utterly natural and unaffected in their presentation as both singers and actresses. Garland fairly explodes off the screen with vitality as she literally punches out the lyrics to the jaunty ""Americana."" As she socks across the number with appropriate hand gestures, Judy literally seems to be chewing on the words of the song as she screws up her mouth and bugs out her eyes in her intense eagerness to show what she can do.<br /><br />By contrast, Durbin's presentation of ""Il Bacio,"" is far more demure and subdued. Although entirely appropriate for her ""classical"" selection, Durbin's delivery of Arditi's waltz is much more of the traditional ""stand 'n sing"" variety than Garland's physically emotive turn. Nevertheless, though ""miniature diva"" Deanna does nothing to call attention to herself, with her candid eyes, dazzling smile and artless delivery, she easily holds the screen with ""jazz baby"" Judy, and their delightful duetting of ""Americana"" in the short's finale makes one regret all the more that producer Joe Pasternak was never able to realize his dream of pairing Durbin and Garland in a musical feature film (because Universal refused to loan ""Number One Asset"" Durbin out).<br /><br />A priceless document of the nascent talents of two remarkable and utterly unique talents. See this one if you get a chance!",,,,,,
,0,,imdb,sentiment,"The original Body and Soul (1947) is a masterpiece. John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe. This remake is abominable. In spite of the presence of Rod Steiger, Joe Mantegna and Jennifer Beals there is nothing of value here and it is a shame this product bears the same title as the brilliant original. Only the main character's name, Charlie Davis, is the same in both films. I don't think there are any redeeming qualities in this remake. I am amazed that Rod Steiger participated. This may be the only bad film he ever made. Maybe he needed the paycheck.",,,,,,
,0,,imdb,sentiment,"The over-riding problem with this film is that it can't possibly use Bill Murray to the best of his abilities, simply because of the co-star.<br /><br />If this was a road movie with another comedic actor, it might work. Even if they were both trying to get the elephant across the country, it would at least allow for them to share some amusing dialogue. As it stands, Murray is left talking to an elephant who cannot answer back with witty banter. Essentially, it means that Murray is talking to himself, and this makes the film more boring than it could have been had he had another character to bounce off.<br /><br />Kids would enjoy this movie,simply because of the elephant, but anyone wanting to watch Bill Murray's biting delivery and enjoy an excellent script needs to look somewhere else.",,,,,,
,0,,imdb,sentiment,"I like dark humor and non-PC stuff, but not if it is with no purpose but to elevate yourself. Bashing a group of people without any trace of self-irony is crap.<br /><br />There are people who could make concentration camp jokes funny, but whoever made this film unfortunately failed even in the VERY easy task of making fun about Turks in Germany. It is a very easy task, but if your are the Germany equivalent of an inbred redneck (=inbred Southerner from a village where virginity is often lost to farm animals) you certainly will fail at this and also at life. I have heard and seen so many funny stuff about minorities in Germany, but this ""movie"" (this piece of crap being listed here is an insult to the next worst movie) sucks like the calf the makers of this movie met some years ago.",,,,,,
,0,,imdb,sentiment,"What can be said about a movie about a cross dressing gangster? Not that much. With the average indie style film-making, this film has the timing all wrong. Editing is just awful. As far as the gangster story, it might have been pulled off if the gangsters didn't lack character. Everyone just seemed to be there for some sort of punch line. None of which were funny. The usual suspects in this film are the hooker with the heart of gold, the dying mafia father that wishes his son would make his business legit, the best friend with the ""zany"" one-liners. But the main character, the gangster that likes to dress up like a girl. Only his motivation for dressing up like a girl is that he got mugged by a woman? Weird. The ending of the movie had to be the nail in the coffin. It was anti-climatic to say the least. I mean I understand how indie filmmakers don't have the equipment for a proper shot out, but they might as well been using water guns. Overall, I would say the hype leading up to it, (red carpet premiere in Vancouver), it was a disappointment.",,,,,,
,1,,imdb,sentiment,"This cheapo remake of the terrific Five Star Final suffers from terrible acting. Humphrey Bogart stars as the manager of a sleazoid radio station that is desperate to boost sagging ratings. The owner decides to have a series of morality plays written about a famous murder case from 20 years ago. So they hire the fake preacher (Harry Hayden) to track down the murderess, who was acquitted and has been living quietly under a fake name. The preacher arrive on the daughter's wedding day, but the ruthless radio station refuses to back off exposing the mother and ruining their lives.<br /><br />Bogart is always good. Hayden is good the the slimy preacher, and Henry O'Neill is good as the father. Everyone else is just awful. Helen McKeller wins no sympathy (crucial for the role), Linda Perry is a lousy actress, Beverly Roberts is OK but always looks old, Claire Dodd and Hobart Cavanagh have no parts, Carlyle Moore is a dud as the boy friend, Virginia Brissac is miscast as the society mother, Robert Middlemas overacts as the station owner.<br /><br />This one comes in under an hour but is a pale copy of the original which boasted dynamic performances by Edward G. Robinson, Aline MacMahon, Frances Starr, and Boris Karloff. But it's always worth watching Boagrt.",,,,,,
,1,,imdb,sentiment,"The acting is good, the action is good, and so is the plot. If you like some good, fast entertainment with an air for authentic action scenes, not the Hollywood (looks great, but is totally ridiculous) kind, you're in for a special treat. Just sit back and enjoy...",,,,,,
